sub_section_name,is_relevant,section_name,main_section
CONSULTS,Yes,*Discharge Quick Note,Discharge Summary
Plan,Yes,: HISTORY AND PHYSICAL,History & Physical
Medical History,Yes,Acute Rehab Consult,CONSULTATION REPORT
Physical Examination at Discharge,Yes,ADMISSION/DISCHARGE INFORMATION,Discharge Summary
PAST MEDICAL HISTORY,Yes,"Admit, Discharge, Transfer Forms",Discharge Summary
NEW DISCHARGE MEDICATIONS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Admitting diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Principal diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Secondary diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
History of Present Illness,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Echocardiogram,No,Admit/Transfer/Discharge Orders,Discharge Summary
Comprehensive Care,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Exam,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Labs,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Medications,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Echocardiogram ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
After Visit Summary,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Diagnoses,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge time,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Admission Diagnoses,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Principal procedures,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Indication for Admission,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Hospital course &Complications,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Primary care physician,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Objective/ Exam ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Intake and Output,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Surgical Procedures,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Procedures ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Surgery A/P ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
consulting Services,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CONDITION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Reason for hospitalization,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Diagnostic and procedural events,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Assessment/plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Face Sheet,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
History and Physical,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
ROS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Past Medical History/ Past Surgical History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Family History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Social History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
VITALS,No,Admit/Transfer/Discharge Orders,Discharge Summary
PHYSICAL EXAM ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Brief History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Vital Signs,No,Admit/Transfer/Discharge Orders,Discharge Summary
Review of Systems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Physical Exam at Discharge,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Assessment ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Plan/Recommendations,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Interval History,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Objective,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Clinical Data ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Interventions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Monitoring and Evaluation,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Physical Exam,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Follow-up,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Follow-Up Appolntment,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PATIENT EDUCATION INFORMATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Functional Status,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Allergies ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medications ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Assessment & Plan ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Vital Signs ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Lab results,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Radiology results ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Follow Up Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
OTHER DIAGNOSES,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
OPERATIONS/PROCEDURES,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CONDITION ON DISCHARGE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
REASON FOR ADMISSION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
LAST LABS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
SICU History and Physical,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Documented Medications,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Problem list,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Physical Examination,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Review / Management ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Completed Action List,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Short Term PT Goals Grid,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Lona Term PT Goals Grid ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
General Info,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Assessment,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Primary Pain,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Transfer Rehab Grid,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Ambulation Rehab Grid ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Treatment Log,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DC Recommendations,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Education,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
OT Pail ent/Famlly Goals,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Lona Term OT Goals Grid ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Plan Review ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Prior Functional Level Grid ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Functional Mobility ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Transfers OT,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Significant Findings,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
INDICATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Diagnosis/Plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Treatments & Procedures,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Admission diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Med Rec,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Education Materials,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Consultations,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Person information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Clinical Discharge instructions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medical information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Orders,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge arrangements,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient education Instructions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge diagnosis and plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge disposition,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Complications and/or Infections,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DischargeExam,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
provider information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
patient Education  information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Diagnoses and plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Follow up appointments,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Discharge condition,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Operative Procedures,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Hospital Events,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Discharge instructions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
 Disposition,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
 Hospital Course,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Condition at Discharge,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
 Discharge Diagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PrimaryDiagnosis,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Procedures This Visit,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Summary,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Cansule Summary,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
ON Events,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Acute Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Cchronic Problems,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Physical exam on day of discharge,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Instructions,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Reason for Hospitalitation,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patients Discharge Medications,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Significant Diagnostic Studies,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Diagnoses,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CLINICAL RECOMMENDATIONS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Follow-up Appointments,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Physical Exam today,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
HPI,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Chief Complaint,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Risk Stratification,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
ROS Statements,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Re-Evaluation & MDM,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Discharge & Departure,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge/Care Plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CONSULTATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DIET,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Major events/complications,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Major Events/Compli,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
HPI/Reason for Hospitalization,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Hospital Course with Significant Findings,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DischargeDiagnosis and Plan,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Other Pertinent Discharge Information,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Providers,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Laboratory,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PROCEDURE PERFORMED,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
BRIEF HOSPITAL COURSE,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DISCHARGE LABS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Diagnosis1,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
High Risk OSA,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medication List,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge Discharge Summary,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Chief Chief complaintHPI,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Exam,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
DS DS Data,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
 Physical Exam,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PMH,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PSH,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Active Problem List,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Subjective,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
FINAL DIAGNOSES,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PROCEDURES PERFORMED DURING THIS HOSPITALIZATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
CHIEF COMPLAINT AND HISTORY OF PRESENT ILLNESS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PAST HISTORY AND REVIEW OF SYSTEMS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
LABORATORY REPORTS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Procedures Documented This Visit,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Vitals-Last Recorded,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Diagnostic Results,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Follow Up,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Discharge orders,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Daily Medication list,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PROCEDURES PERFORMED,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
HISTORY AND INDICATIONS FOR ADMISSION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PAST SURGICAL HISTORY,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
EXAMINATION,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Patient Identification,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Images ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Encounter Diagnoses,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Interpretation Summary,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medications Administered ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Medication,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Description of Procedure ,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Findings,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Recommendations,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Physical Exam/Objective,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
Chronic Problem List,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PRIMARY DISCHARGE DIAGNOSES,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
SECONDARY DISCHARGE DIAGNOSES,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
PERTINENT DIAGNOSTICS,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
ISSUES TO BE ADDRESSED AT PCP FOLLOWUP,Yes,Admit/Transfer/Discharge Orders,Discharge Summary
